zcta,CBSASub20,Areaname20,safmr_0br,safmr_0br_90pct_pay_std,safmr_0br_110pct_pay_std,safmr_1br,safmr_1br_90pct_pay_std,safmr_1br_110pct_pay_std,safmr_2br,safmr_2br_90pct_pay_std,safmr_2br_110pct_pay_std,safmr_3br,safmr_3br_90pct_pay_std,safmr_3br_110pct_pay_std,safmr_4br,safmr_4br_90pct_pay_std,safmr_4br_110pct_pay_std
33002,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",950,855,1045,1140,1026,1254,1450,1305,1595,1930,1737,2123,2350,2115,2585
33010,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",860,774,946,1040,936,1144,1320,1188,1452,1760,1584,1936,2140,1926,2354
33011,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",950,855,1045,1140,1026,1254,1450,1305,1595,1930,1737,2123,2350,2115,2585
33012,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",950,855,1045,1140,1026,1254,1450,1305,1595,1930,1737,2123,2350,2115,2585
33013,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",870,783,957,1050,945,1155,1330,1197,1463,1770,1593,1947,2150,1935,2365
33014,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1030,927,1133,1240,1116,1364,1570,1413,1727,2090,1881,2299,2540,2286,2794
33015,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1030,927,1133,1240,1116,1364,1570,1413,1727,2090,1881,2299,2540,2286,2794
33016,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1000,900,1100,1210,1089,1331,1530,1377,1683,2040,1836,2244,2480,2232,2728
33017,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",950,855,1045,1140,1026,1254,1450,1305,1595,1930,1737,2123,2350,2115,2585
33018,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1120,1008,1232,1360,1224,1496,1720,1548,1892,2290,2061,2519,2790,2511,3069
33023,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",930,837,1023,1120,1008,1232,1420,1278,1562,2050,1845,2255,2490,2241,2739
33030,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",790,711,869,960,864,1056,1220,1098,1342,1620,1458,1782,1960,1764,2156
33031,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1150,1035,1265,1390,1251,1529,1760,1584,1936,2340,2106,2574,2850,2565,3135
33032,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",970,873,1067,1170,1053,1287,1480,1332,1628,1970,1773,2167,2400,2160,2640
